ProbeID,1Uex,1Dex,3Uex,3Dex,7Uex,7Dex,1Uin,1Din,3Uin,3Din,7Uin,7Din
A_70_P000001,0,0,0,0,0,0,1,0,1,0,0,0
A_70_P000006,0,1,0,0,0,0,0,0,0,0,0,0
A_70_P000011,0,0,0,0,0,0,0,0,0,1,0,1
A_70_P000016,0,1,0,0,0,0,0,0,0,0,0,0
A_70_P000021,0,0,0,0,1,0,0,0,0,0,0,0
A_70_P000026,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000035,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000036,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000041,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000046,0,0,0,0,0,0,0,1,0,1,0,0
A_70_P000051,0,1,0,0,0,0,0,0,1,0,1,0
A_70_P000056,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000061,0,0,0,0,0,0,0,0,0,1,0,0
A_70_P000066,1,0,1,0,1,0,1,0,0,0,0,0
A_70_P000071,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000076,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000081,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000086,0,1,0,0,0,0,0,0,0,0,0,0
A_70_P000091,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000096,1,0,1,0,1,0,1,0,1,0,0,0
A_70_P000101,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000106,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000111,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000116,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000121,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000126,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000131,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000136,0,0,0,0,0,0,0,1,0,1,0,0
A_70_P000141,1,0,0,0,0,0,0,0,0,0,0,0
A_70_P000146,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000151,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000156,0,0,0,0,0,0,0,0,0,1,0,0
A_70_P000161,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000166,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000171,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000176,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000181,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000186,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000191,0,0,0,0,0,0,0,0,1,0,0,0
A_70_P000196,1,0,0,0,0,0,0,0,0,0,0,0
A_70_P000201,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000206,0,0,0,0,0,0,0,1,0,1,0,1
A_70_P000211,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000216,1,0,0,0,0,0,0,0,0,1,0,1
A_70_P000221,0,1,0,1,0,1,0,0,0,0,0,0
A_70_P000226,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000231,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000236,0,0,0,0,0,0,0,0,0,0,0,1
A_70_P000241,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000246,1,0,0,0,0,0,0,0,0,0,0,0
A_70_P000251,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000256,0,0,0,0,0,0,0,1,0,1,0,0
A_70_P000261,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000266,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000271,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000276,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000281,1,0,0,0,0,0,0,0,0,1,0,0
A_70_P000286,0,1,0,1,0,1,0,0,0,1,0,0
A_70_P000291,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000296,0,1,0,1,0,1,0,0,0,0,0,0
A_70_P000301,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000306,0,1,0,1,0,1,0,0,0,0,0,0
A_70_P000311,0,0,0,0,0,0,1,0,0,0,0,0
A_70_P000316,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000321,0,0,0,0,1,0,0,0,0,0,0,0
A_70_P000326,1,0,0,0,0,0,0,0,0,0,0,0
A_70_P000331,0,0,1,0,0,0,1,0,1,0,1,0
A_70_P000336,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000341,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000346,0,0,0,0,1,0,0,0,0,0,0,0
A_70_P000351,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000356,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000361,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000366,0,0,0,0,0,0,0,0,0,1,0,0
A_70_P000371,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000376,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000381,1,0,0,0,0,0,0,0,0,0,0,0
A_70_P000386,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000391,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000396,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000401,0,1,0,0,0,0,0,0,1,0,0,0
A_70_P000406,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000411,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000416,0,1,0,1,0,1,0,0,0,1,0,0
A_70_P000421,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000426,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000431,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000436,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000441,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000446,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000451,1,0,0,0,0,0,0,0,0,0,0,0
A_70_P000456,0,0,0,0,0,0,0,0,0,0,0,1
A_70_P000461,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000466,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000471,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000476,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000481,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000486,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000491,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000496,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000501,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000506,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000511,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000516,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000521,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000526,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000531,0,1,0,1,0,1,0,0,0,0,0,0
A_70_P000536,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000541,1,0,1,0,1,0,1,0,0,0,0,0
A_70_P000546,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000551,0,0,0,0,0,0,0,0,0,1,0,0
A_70_P000556,0,0,0,1,0,0,0,0,0,0,0,0
A_70_P000561,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000566,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000571,0,1,0,0,0,1,0,0,0,0,0,0
A_70_P000576,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000581,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000586,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000591,0,0,0,0,0,0,0,1,0,1,0,0
A_70_P000596,0,0,0,0,0,0,0,0,0,1,0,0
A_70_P000601,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000606,1,0,1,0,1,0,0,0,0,0,0,0
A_70_P000611,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000616,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000621,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000626,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000636,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000641,0,0,0,0,0,0,0,0,0,1,0,1
A_70_P000651,1,0,0,0,0,0,0,0,0,0,0,0
A_70_P000656,0,0,0,0,1,0,0,0,0,0,0,0
A_70_P000661,1,0,1,0,1,0,0,0,0,0,0,0
A_70_P000666,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000671,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000676,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000681,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000686,0,1,0,0,0,0,0,1,0,0,0,0
A_70_P000691,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000696,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000701,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000706,1,0,1,0,1,0,0,0,0,0,0,0
A_70_P000711,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000716,0,0,0,0,0,0,0,1,0,1,0,1
A_70_P000721,0,1,0,1,0,1,0,0,0,0,0,1
A_70_P000731,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000736,0,0,0,0,0,0,0,1,0,1,0,0
A_70_P000741,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000746,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000751,0,0,0,0,1,0,0,0,0,0,0,0
A_70_P000756,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000761,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000766,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000771,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000776,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000781,0,0,0,0,0,0,0,0,0,0,0,0
A_70_P000786,0,0,0,0,0,0,1,0,1,0,0,0
